session_id,frame_index,header_timestamp_ns,return_count
20260730_indoor_ball_3m_front_static_run01,23,1785426602728265984,4
20260730_indoor_ball_3m_front_static_run01,24,1785426602825498880,15
20260730_indoor_ball_3m_front_static_run01,25,1785426602926254336,7
20260730_indoor_ball_3m_front_static_run01,26,1785426603025249024,3
20260730_indoor_ball_3m_front_static_run01,27,1785426603126130944,15
20260730_indoor_ball_3m_front_static_run01,28,1785426603231742208,7
20260730_indoor_ball_3m_front_static_run01,29,1785426603327910144,4
20260730_indoor_ball_3m_front_static_run01,30,1785426603427214336,15
20260730_indoor_ball_3m_front_static_run01,31,1785426603526724864,10
20260730_indoor_ball_3m_front_static_run01,32,1785426603627974144,2
20260730_indoor_ball_3m_front_static_run01,33,1785426603727104256,13
20260730_indoor_ball_3m_front_static_run01,34,1785426603827135232,9
20260730_indoor_ball_3m_front_static_run01,35,1785426603927466496,2
20260730_indoor_ball_3m_front_static_run01,36,1785426604028052224,15
20260730_indoor_ball_3m_front_static_run01,37,1785426604127626240,10
20260730_indoor_ball_3m_front_static_run01,38,1785426604229512448,2
20260730_indoor_ball_3m_front_static_run01,39,1785426604327749120,14
20260730_indoor_ball_3m_front_static_run01,40,1785426604429296896,11
20260730_indoor_ball_3m_front_static_run01,41,1785426604529660928,2
20260730_indoor_ball_3m_front_static_run01,42,1785426604631163904,13
20260730_indoor_ball_3m_front_static_run01,43,1785426604730922752,10
20260730_indoor_ball_3m_front_static_run01,44,1785426604829577984,2
20260730_indoor_ball_3m_front_static_run01,45,1785426604930232064,12
20260730_indoor_ball_3m_front_static_run01,46,1785426605030807808,12
20260730_indoor_ball_3m_front_static_run01,47,1785426605131855616,2
20260730_indoor_ball_3m_front_static_run01,48,1785426605231053824,12
20260730_indoor_ball_3m_front_static_run01,49,1785426605331606528,13
20260730_indoor_ball_3m_front_static_run01,50,1785426605432310016,2
20260730_indoor_ball_3m_front_static_run01,51,1785426605533463808,13
20260730_indoor_ball_3m_front_static_run01,52,1785426605633635840,13
20260730_indoor_ball_3m_front_static_run01,53,1785426605734354432,2
20260730_indoor_ball_3m_front_static_run01,54,1785426605833112832,11
20260730_indoor_ball_3m_front_static_run01,55,1785426605933436416,13
20260730_indoor_ball_3m_front_static_run01,56,1785426606034316800,1
20260730_indoor_ball_3m_front_static_run01,57,1785426606135498496,12
20260730_indoor_ball_3m_front_static_run01,58,1785426606233843712,13
20260730_indoor_ball_3m_front_static_run01,59,1785426606334279424,2
20260730_indoor_ball_3m_front_static_run01,60,1785426606434147840,9
20260730_indoor_ball_3m_front_static_run01,61,1785426606533902848,13
20260730_indoor_ball_3m_front_static_run01,62,1785426606637623552,2
20260730_indoor_ball_3m_front_static_run01,63,1785426606735344896,11
20260730_indoor_ball_3m_front_static_run01,64,1785426606837335552,13
20260730_indoor_ball_3m_front_static_run01,65,1785426606936643072,2
20260730_indoor_ball_3m_front_static_run01,66,1785426607034901504,9
20260730_indoor_ball_3m_front_static_run01,67,1785426607135964672,14
20260730_indoor_ball_3m_front_static_run01,68,1785426607235690240,2
20260730_indoor_ball_3m_front_static_run01,69,1785426607336110848,12
20260730_indoor_ball_3m_front_static_run01,70,1785426607438007808,12
20260730_indoor_ball_3m_front_static_run01,71,1785426607538226432,2
20260730_indoor_ball_3m_front_static_run01,72,1785426607635976448,6
20260730_indoor_ball_3m_front_static_run01,73,1785426607737127424,10
20260730_indoor_ball_3m_front_static_run01,74,1785426607838150912,8
20260730_indoor_ball_3m_front_static_run01,75,1785426607938772224,5
20260730_indoor_ball_3m_front_static_run01,76,1785426608037894656,11
20260730_indoor_ball_3m_front_static_run01,77,1785426608139197696,6
20260730_indoor_ball_3m_front_static_run01,78,1785426608238634752,8
20260730_indoor_ball_3m_front_static_run01,79,1785426608338673408,10
20260730_indoor_ball_3m_front_static_run01,80,1785426608438182400,7
20260730_indoor_ball_3m_front_static_run01,81,1785426608541732608,9
20260730_indoor_ball_3m_front_static_run01,82,1785426608641548288,11
20260730_indoor_ball_3m_front_static_run01,83,1785426608739545344,7
20260730_indoor_ball_3m_front_static_run01,84,1785426608839586560,9
20260730_indoor_ball_3m_front_static_run01,85,1785426608940555264,10
20260730_indoor_ball_3m_front_static_run01,86,1785426609040027648,8
20260730_indoor_ball_3m_front_static_run01,87,1785426609139775744,7
20260730_indoor_ball_3m_front_static_run01,88,1785426609240351232,10
20260730_indoor_ball_3m_front_static_run01,89,1785426609341379840,7
20260730_indoor_ball_3m_front_static_run01,90,1785426609440532736,8
20260730_indoor_ball_3m_front_static_run01,91,1785426609541838592,11
20260730_indoor_ball_3m_front_static_run01,92,1785426609641582336,6
20260730_indoor_ball_3m_front_static_run01,93,1785426609740653312,8
20260730_indoor_ball_3m_front_static_run01,94,1785426609839978496,11
20260730_indoor_ball_3m_front_static_run01,95,1785426609940955648,9
20260730_indoor_ball_3m_front_static_run01,96,1785426610040853760,8
20260730_indoor_ball_3m_front_static_run01,97,1785426610141043200,10
20260730_indoor_ball_3m_front_static_run01,98,1785426610241415424,9
20260730_indoor_ball_3m_front_static_run01,99,1785426610342381568,7
20260730_indoor_ball_3m_front_static_run01,100,1785426610441849088,9
20260730_indoor_ball_3m_front_static_run01,101,1785426610543682816,10
20260730_indoor_ball_3m_front_static_run01,102,1785426610643954944,7
20260730_indoor_ball_3m_front_static_run01,103,1785426610743392512,9
20260730_indoor_ball_3m_front_static_run01,104,1785426610844194816,11
20260730_indoor_ball_3m_front_static_run01,105,1785426610943700736,8
20260730_indoor_ball_3m_front_static_run01,106,1785426611043980032,8
20260730_indoor_ball_3m_front_static_run01,107,1785426611143896576,10
20260730_indoor_ball_3m_front_static_run01,108,1785426611243335936,8
20260730_indoor_ball_3m_front_static_run01,109,1785426611343992064,8
20260730_indoor_ball_3m_front_static_run01,110,1785426611448956672,10
20260730_indoor_ball_3m_front_static_run01,111,1785426611545842688,8
20260730_indoor_ball_3m_front_static_run01,112,1785426611644696576,7
20260730_indoor_ball_3m_front_static_run01,113,1785426611746069248,11
20260730_indoor_ball_3m_front_static_run01,114,1785426611845644544,7
20260730_indoor_ball_3m_front_static_run01,115,1785426611944720384,8
20260730_indoor_ball_3m_front_static_run01,116,1785426612046012928,11
20260730_indoor_ball_3m_front_static_run01,117,1785426612144623616,7
20260730_indoor_ball_3m_front_static_run01,118,1785426612245685248,8
20260730_indoor_ball_3m_front_static_run01,119,1785426612345088000,12
20260730_indoor_ball_3m_front_static_run01,120,1785426612446986240,6
20260730_indoor_ball_3m_front_static_run01,121,1785426612545782528,2
20260730_indoor_ball_3m_front_static_run01,122,1785426612646327808,20
20260730_indoor_ball_3m_front_static_run01,123,1785426612746525696,7
20260730_indoor_ball_3m_front_static_run01,124,1785426612848198144,2
20260730_indoor_ball_3m_front_static_run01,125,1785426612947942400,12
20260730_indoor_ball_3m_front_static_run01,126,1785426613048928768,12
20260730_indoor_ball_3m_front_static_run01,127,1785426613147372032,2
20260730_indoor_ball_3m_front_static_run01,128,1785426613247011072,13
20260730_indoor_ball_3m_front_static_run01,129,1785426613347835648,13
20260730_indoor_ball_3m_front_static_run01,130,1785426613447877632,1
20260730_indoor_ball_3m_front_static_run01,131,1785426613547613952,12
20260730_indoor_ball_3m_front_static_run01,132,1785426613647812864,13
20260730_indoor_ball_3m_front_static_run01,133,1785426613749598464,2
20260730_indoor_ball_3m_front_static_run01,134,1785426613851261952,10
20260730_indoor_ball_3m_front_static_run01,135,1785426613949833472,13
20260730_indoor_ball_3m_front_static_run01,136,1785426614050466816,3
20260730_indoor_ball_3m_front_static_run01,137,1785426614150901248,9
20260730_indoor_ball_3m_front_static_run01,138,1785426614250694656,14
20260730_indoor_ball_3m_front_static_run01,139,1785426614349527552,3
20260730_indoor_ball_3m_front_static_run01,140,1785426614450699008,11
